Id,SalePrice
2658,68331.52481202774
2718,83210.72348663703
2414,103923.66717083102
1989,71352.24415828465
625,95253.74350767655
333,47605.83093598803
1327,49290.95782030069
858,79375.06525575231
95,62749.35314154768
1568,150408.59226393804
2482,90135.01008691825
1364,65194.92893361521
2584,78760.17323102316
818,120919.64712241528
2673,84320.87196469842
1297,80541.10890254196
790,47769.708295695236
2616,85472.79307330257
720,99968.42363741677
222,84983.69597374888
557,56641.84249988709
1148,113196.3436282284
2766,96511.14955595501
534,90592.05537157854
1452,68784.9261517818
630,60694.12898981392
2648,53275.39854060517
125,59765.08028374368
1670,66958.99232487121
756,46042.44129265382
717,156778.62274405235
1032,79184.89334695728
852,102257.08404858407
1731,105717.64864500867
2639,74703.71481408412
1267,69321.40649756721
1851,86453.80397253831
567,66879.40428770248
2439,108798.02782408927
1898,69825.27365488444
647,87418.2763412343
2256,111677.58436759732
1444,104436.31018598127
2485,68632.11109836187
157,56515.83886503527
88,66748.73419985839
2003,76039.2401015793
186,115229.5149268874
1425,132095.80362318666
2695,88039.7339024458
738,84114.66324800282
395,87904.78854489718
1353,98905.78187202214
1878,74979.97180786604
390,78441.79655340075
1456,117047.87465860147
1103,149007.65760102248
1387,55188.79227322864
2070,76083.25049894856
1199,91492.18834918522
2479,87054.50885546111
501,155544.6925369471
1718,103949.03789318418
1483,73783.12583049377
2557,43170.389296972884
437,202243.1642003187
2224,114490.70229043021
1628,104898.5536351361
397,75974.87976758984
587,100218.16234261647
2611,75037.5150521089
2399,121303.00344691107
2148,93512.19918066915
304,80999.64448814256
1997,73441.40688827232
2817,59736.82519474593
1431,79202.74591618234
427,114830.64203712766
263,79005.54285203303
598,77272.78259612476
2895,109531.42747991624
687,61373.05088168522
1822,80210.5157552432
2191,53705.35307646881
179,53006.6457134667
1009,104181.82435630362
2010,61137.13322108542
1991,89525.39239786385
1411,101795.40242018622
1721,109115.50347171517
1144,91803.40804176434
593,93414.76901656839
575,135529.56706345064
1249,84936.80778853904
1604,112727.3208353028
1064,210731.7832493461
1923,70595.56642529504
2325,99667.84489856867
114,90249.96637274187
2700,93214.12930960559
343,85390.95741780814
386,88455.38027427703
1814,116884.02430692296
2446,292174.1695269019
208,69934.05795442981
1679,56014.36412774493
822,172124.27444601405
6,105480.82944642962
1781,174976.50927953178
2397,134165.21958251542
2340,102521.7115335184
1618,167245.93993831828
2843,74264.57191684548
1061,167823.4101500937
2786,57255.7426124438
1935,76909.43343928274
1341,73252.3268359114
521,126929.58300685487
2136,74978.67449736258
996,109128.94367414131
227,82987.78275749258
135,95972.75675688002
1167,60096.01699322962
294,145403.33046509718
1776,80189.78342940468
540,75547.88800034659
1717,96503.2479956874
2303,125653.39061461607
116,88098.26747670402
127,53430.93658776852
1371,68296.00170142733
1014,75111.55319903948
702,68934.40909584252
750,63487.358456448266
261,91361.67034710776
1559,35736.485824934585
577,114943.64761292655
2812,90053.0630993943
2080,105288.46508013264
2376,67959.67239427785
659,54148.92423841165
1235,71189.18858370848
1917,68495.7622125342
2094,158509.65334111566
1460,122290.87878849018
1471,93834.61761231572
1509,61182.25811349047
1922,80388.65835639313
433,232942.44944506715
460,95136.67194168565
1116,118772.56199660459
1137,80417.12770615032
53,78109.15112896345
2354,111733.27739456779
1475,106822.24087958816
1761,424374.39233975334
842,66757.72326432863
2739,113592.30007817272
2509,49512.75995803139
1007,92507.46961342984
2610,119617.96357957204
1952,59955.74856897042
2719,87457.86815009425
2921,45322.779049839664
1966,71704.69432383565
1204,71546.30637163403
1829,160690.9928100447
2419,90136.92672269113
391,66703.33817004839
798,75913.10561623368
481,104702.52279409775
193,108483.89276767214
555,63971.35563234916
2357,93027.70065928406
328,66109.1460849684
1356,80148.07825181217
1154,57498.224400116735
1730,92206.1400520267
2249,139730.50650589014
1119,134061.50386055428
2856,75546.42464827817
1394,54826.223769806864
2587,56789.214519212255
61,228497.65689868882
2661,108416.49736480504
2711,80117.80707540657
1147,110135.9906973583
757,118877.79113657055
2378,53073.15388185156
1413,71159.08183296352
1722,116085.96411072473
1112,107460.40759741879
1623,106946.16260955195
1201,95341.17912313271
1513,68022.20602646237
957,246054.32843923336
1171,112212.46410747248
1145,109289.15161771057
2726,121947.9185504211
703,85659.6795059376
1964,78586.5181084716
2512,53706.58131836207
159,85037.60055699985
1281,81634.52133631473
468,159116.03685144146
290,74020.60675728119
665,64271.36012026796
1463,128547.81193374863
1792,106214.20991877903
923,63602.797394621564
500,119579.3148540566
170,72197.33412206302
2192,50237.89935534524
2571,178773.32909061428
2314,182964.27463750477
2647,47285.3857231516
422,200614.80240472444
2457,265554.59061030473
1838,83445.60046444033
2805,119048.20639269322
1645,80911.80626263835
1711,122475.81260534894
2825,113930.28254406175
322,186866.0687736684
2103,139697.77071996863
342,51042.582641849425
600,56671.59475588266
488,94341.52177163352
1725,104441.9302788052
2246,139170.86147991614
2847,98112.5496850582
806,122838.83124189649
530,94884.85096220043
963,106441.30411258414
2678,58173.826125600084
2401,316251.4047597854
805,105581.36247793563
2259,124325.62894838516
1748,105764.09726160196
1361,61226.2171887525
1677,55099.82930327444
1406,101832.31866564284
2322,115038.00062768314
688,80647.5274954925
143,59744.874630256425
804,121521.58731492481
1214,84185.52433368188
2828,66266.28551585403
1999,71646.5149821649
2467,72585.2390914333
2665,89751.60891068279
1538,260647.17746051936
398,55672.252412788366
2822,74074.20577834397
2157,75075.65546852165
1856,105641.60546162717
2570,64977.483053849784
2320,121144.28877720165
1517,80717.5264535622
1312,58366.5169389535
2012,92206.66492876394
506,214008.62763847396
2865,122886.806737021
2367,49168.74755356516
554,60391.27211127047
238,80707.13386866853
1954,68313.31982732826
2291,42888.555209483355
2725,74145.4986730367
1482,72694.17646176153
2763,94975.51553954447
503,111521.77626966142
1584,105879.69509402578
1531,73574.58824609609
2210,68829.31699598505
459,110236.63275971702
556,74166.81111234424
1347,76370.07411712887
1290,39392.371297466845
1571,159086.31167397895
2754,91799.78362349275
765,73126.23600766352
2494,68840.65193786091
2870,130612.7245963615
7,103211.98482227378
1114,101353.5803028872
2418,143546.14474932096
18,151518.97923726734
39,169607.0919912096
1001,119113.11139512566
2442,116868.99821844314
616,62552.277553752174
1414,68070.53301406546
289,87134.5760220874
40,122054.50191648853
860,55772.31642955098
409,76103.42677089322
673,60652.11964416489
2427,79571.04813203869
2036,116860.24208084481
2564,78845.56653074455
642,71037.4480150602
1008,104790.45722685248
1908,87485.0442173732
2519,103184.2794777891
1369,56987.2944939778
2855,109098.74117655963
712,73672.81988595604
1958,50549.16199518063
107,91412.88295346846
2295,177337.80193497965
676,68858.48804226586
259,89234.6265628005
93,152482.0501422436
106,104737.60496939252
2315,105684.03555287977
1050,58370.65550505827
1095,106915.61461958644
2709,77544.97282892707
1496,85815.56554838503
2370,55975.86775868094
2458,123603.71225295926
2733,60790.23680047446
161,151641.9529705104
726,66787.20369926865
845,97700.78030400476
947,203191.42407546783
2563,80808.63003048359
2299,118620.6611449343
211,52062.641114988386
605,75208.0842434979
1478,89641.97506419943
2247,134785.7497878694
2274,84685.72775125148
2869,108919.00391790844
967,101515.9783767134
2656,62215.22616225123
667,85830.96963405937
1042,52767.279788539585
2023,92786.7498744778
2447,174400.75508133176
2055,66659.70309577382
2275,150071.60110599556
2204,113478.9158407712
1563,133821.49738176295
483,105968.58136285815
796,75956.48025758844
1526,83985.33615785833
2042,63012.7583101817
442,132702.79372831955
1693,127190.19451974524
1468,107156.76478698994
1430,107337.33318687201
2605,67795.70243372029
1529,127182.47563088388
335,128298.92267145074
1287,85795.73179570957
31,46483.88082106191
1785,153985.7770107121
82,98613.88330396931
2620,77188.62949012553
252,87536.48893194909
2165,87177.06233792623
2316,101127.33970724476
775,73082.93379304504
1558,42596.052325466095
17,156396.1580943159
1022,101271.13702795416
925,85010.12098210087
438,138368.05577593084
1270,60094.120371225836
1272,62568.17159882981
215,71447.69170009668
266,109742.01060070416
2402,123023.95949289623
1250,76244.03686998933
1984,84970.86558082484
1279,67660.45664154566
377,129214.32647136052
2156,128816.00585269992
499,142080.69240003038
1374,75029.00742994399
2898,195125.8983449169
401,65131.87103851766
2721,82261.46642576983
2078,120649.71611423846
2589,67388.15870340318
1946,132349.06078137536
1334,67611.28086316612
2781,102852.2015811559
431,161541.65793746227
576,104750.08401020635
1474,98829.0880146695
2254,169156.25073358495
2155,166035.53374095538
643,55342.444997432285
1944,60663.752752832865
480,104297.9899992532
2845,53938.44698055815
2387,131475.64914740805
2407,97332.42163645936
2527,88767.26352529686
2514,56389.420441973256
629,70323.46252771847
80,125412.21262712676
1876,62929.117211618664
1546,71301.6264994753
2518,92530.72936925788
2347,89525.81387349412
783,140038.11270087239
1322,33159.20498678706
194,38173.45025336619
1770,131391.196357396
2143,74929.19964402328
1229,119715.5270185818
